Actual,Predicted
57.82,62.825099999999985
93.68,86.41890000000006
80.63,76.26220000000005
78.89,75.86760000000008
90.87,81.93729999999996
97.43,86.52220000000007
91.37,84.66439999999997
40.66,50.37329999999995
76.6,74.27590000000008
86.27,76.2818000000001
81.72,78.00620000000005
40.36,50.2865
64.18,65.67430000000004
98.14,90.60210000000006
79.32,73.97789999999993
53.46,61.03150000000002
61.31,65.25900000000011
53.44,58.76019999999996
73.69,71.7870999999999
86.1,78.25780000000009
60.45,62.610599999999934
79.62,76.41489999999997
72.94,71.77829999999989
56.71,62.468300000000035
56.32,58.194199999999974
72.32,70.9741
49.24,55.53439999999991
45.67,54.34850000000003
60.53,62.77319999999998
47.09,70.71449999999999
63.98,70.61300000000003
97.18,89.28690000000007
96.13,86.81830000000005
65.29,65.94509999999998
59.93,62.71800000000004
74.72,73.96900000000001
54.4,59.26139999999995
87.84,81.36690000000007
86.45,78.83599999999993
57.78,61.76209999999998
80.89,78.69290000000008
73.75,70.42429999999999
76.04,74.07319999999999
74.47,68.1191
44.91,71.2804
68.19,70.66999999999993
91.6,83.07600000000009
41.39,50.122100000000046
99.31,69.23149999999994
47.1,64.58779999999997
76.11,72.39539999999992
90.88,71.42929999999994
99.85,87.77590000000009
75.31,74.9606000000001
58.56,61.76520000000008
90.69,82.7406999999999
50.28,71.96780000000004
59.15,73.38609999999998
57.0,59.433
91.65,85.73339999999989
65.3,67.43550000000009
60.34,61.549100000000045
53.16,59.061299999999946
71.22,69.92180000000003
64.56,67.5820000000001
89.0,80.77179999999996
91.08,82.60589999999995
54.13,72.9807
64.52,66.66730000000005
94.18,66.90230000000001
94.47,66.8902
95.87,85.48719999999997
43.11,49.503399999999985
73.85,75.20110000000003
63.43,66.18310000000005
77.9,74.55779999999992
96.84,72.1825
50.22,59.76239999999998
60.26,61.7994000000001
59.84,63.49350000000006
53.97,58.08240000000001
58.88,61.52650000000006
44.76,56.1639000000001
59.55,62.89000000000008
51.22,56.22600000000002
50.79,53.682999999999964
65.49,66.2968999999999
85.27,80.51870000000012
53.0,56.83249999999999
85.4,77.49479999999993
72.44,71.2917999999999
59.66,65.72689999999993
52.34,60.82000000000004
65.76,66.55690000000001
46.46,52.45930000000002
99.13,89.17390000000002
65.39,68.6128
52.8,57.78560000000005
72.57,70.74929999999993
69.9,73.31949999999989
72.48,75.72530000000005
77.97,75.37110000000004
83.36,77.5306999999999
99.98,90.29919999999984
42.02,52.46820000000006
65.56,64.5143000000001
88.07,79.08209999999997
55.39,57.29260000000002
55.07,58.541099999999986
76.97,75.37790000000001
88.9,79.5978999999999
67.14,77.586
62.75,62.71059999999999
98.41,87.2739999999999
47.01,54.90000000000009
64.51,64.3359000000001
45.89,51.70400000000005
41.71,52.63650000000003
76.47,75.03730000000004
82.05,77.75400000000008
94.48,83.91249999999985
98.85,87.38270000000011
47.15,53.03949999999998
96.76,85.3682000000001
96.03,71.2066
77.52,76.0700000000001
